clean_text,category,predicted
the photo showing priyanka gandhi drinking water from clean ganga thats doing the rounds fake heres the truth behind catch more via ,negative,neutral
modi asat missile will give new strength indias space programme assure international community that our capability wont used against anyone but indias defence initiative for its security were against arms raised space this test wont breach any intl law ,positive,positive
modus operandi jump anti modi story let reach thousands and then apologise why not verify tweeting anti modi stories compulsion ,neutral,negative
come you talk indira rajiv now these two rahul priyanka were guardians such autonomy they too favored select institutions and they more than interfered many such institutions including the armed forces let not your dislike modi color your views,positive,neutral
when comes pakistan problem favourite leader after modi jai hind,neutral,neutral
dumbo bimbooo could understand basic english these tweets modi asking raise awareness about participating voting isnt asking celebrities vote for him  only common sense was common,negative,negative
feku chor modi more attack oppositions the more ’ going loose the elections ,positive,negative
every modi haters right now  ,positive,negative
like you also human being and believe our country and prime minister modi but cant understand well educated and popular celebrity you supporting the most corrupted political family really you deserve punish from our society ,positive,negative
thought would say please watch narendra modi april aapke nazdeeki cinema ghar mein ,neutral,neutral
corruption glue that binds opposition modi northeast lok sabha elections hindustan times ,neutral,neutral
yes our expectations has increased due hope our modi,negative,positive
modi can give 350000 crore india’ richest then can the same for india’ poorest ,neutral,neutral
"all the best modi shaab for your final tool for mission2019
unfortunately all your tools are worthless more gimmicks pls",positive,negative
"
does this mean you will increase corruption rahul gandhi congress will remonetise what modi demonetised times india via ",negative,negative
you expect vote for rahul the best congress can give modi doing lot more for india than rahul has done for amethi think about that,positive,neutral
please stop using populist ideas instead bring forth concrete plans otherwise your plan sounds exactly like modi’ and only that plans,positive,negative
"well there are chinapak agents all areas society including political parties
prime minister modi pulls the media and rightly – opindia news via ",positive,neutral
spbsp alliance banks counter modiyogi east ,neutral,neutral
this uddam thakrey like dhobi gadhaghar ghatka saying modi our leader who opposition leader tell him rahul gandhi,neutral,neutral
the best them all ,positive,positive
anand rai you mean only ‘modi bhakti makes one logical’ parda hatao tov haqeeqat dikhaygi’ how true and logical are modi’ claims,positive,neutral
once nirav modi brought back india will spill the beans nexus between him and congress all alleged misdeed wonder kapil sibal running london even dont surprise even congress giving legal aid nirav india,positive,neutral
this farmer poor guy forced talk for money against modiso evident guys cant breath poison against modi day day outmay23 ,negative,negative
the decision were taken many months back knowing would come fruition weeks before the election then must agree that modi visionary also will inc explain why takes such pathetic decisions inc shud introspect ,negative,neutral
you have audacity taunt modi theatrics your forte tell you why congress govt harassed former space scientist late shree chandrasekhar arrested scientist shree nambi narayanan the isro espionage case now you are proud drdo isro for ,positive,negative
sir pls highlight how rahul gandhi’ mahagatbandan now appealing terrorists defeat modi ,positive,neutral
there are many like arnab who kiss modis ass for his propaganda,positive,negative
that why all the opposition came together fight modi heard all these were corrupts according kejriwal shard pawar mamta shila babu,neutral,neutral
least now congress admits under modi government economics has booked and india have enough reserve pay for this schemebut question arises this amount meant for poors will taken corrupt congress ministers and their beurocrats,negative,neutral
"
talking the strict laws crack down heavily the corrupt modi says that made law for the fugitives wherever the world they hide their money can confiscated the law taking its course with the extradition fugitives now
via namo app",negative,neutral
still modi should not have shot down that satellite that pandit launched modi now destroying institutions even space,negative,negative
tmc the ‘trojan horse’ bjp opposition camp surjya kanta mishra both the tmc and the bjp have understanding least 1012 seats bengal those seats the tmc will help the bjp mishra alleged read ,negative,neutral
anyone else laughing what modi saying taking all the credit for action for which laid the foundation was nehru who said india needs develop scientific temperament modi who said everything was developed ancient india ,positive,neutral
modi holding portfolio department space you know this congijourno per your beloved wife ghooose logic computer space science all credit goes nehru was nehru politician scientist,positive,neutral
most honest only one reason support modi,positive,positive
this joke this joke ,neutral,neutral
modi the tallest leader india has ever produced but there are wretched peole with antiindia agenda who oppose modi time for patriots elect the best nationalist leader which certainly modiyoung india will elect modi only,positive,neutral
citizen first question you who gave loan nirav modi vijay malya etc you already bail augusta westland case and your blaming chor you have proof then show janta jumlebaaj nahi chalega ,positive,negative
think modi mistake fine mistake can resolved think people andhra,positive,neutral
people different lines but modi busy for the safety and security the india ,positive,neutral
sure and have full trust that someone from will consider seriously and take appropriate action god bless him ,positive,positive
this just start modi just seeding the nation wait when you eat the fruits ,neutral,neutral
thanks prime minister narendra modi only modi always modi will vote for chowkidar but not for italian thief ,positive,positive
also this message couldve been directly delivered the drdoisro why modi needs announce ,positive,neutral
amit shah comparison modi has pulled much grander assembly leaders has not only got top leaders stronger alliance partners – shiv sena akali dal and ljp — but also got two former party presidents – rajnath singh and nitin gadkari – standing support,positive,positive
all fairness credit goes captain who has the guts something for the country congress got everything the lap yet had wise thinking for the country can’ blame for every dam thing modi can’ blamed for mosquitoes room pls use grey matter,positive,positive
"bhai are also alliance with pdp 20022008
today providing unconditional support our candidates jammu province should respect their support put questions modi govt failure education economy and others issues nation facing",negative,positive
has been telling did this and did that and later whenever there face off with they are well trained well equipped well motivated and now this new drama name knows how fool ,positive,positive
congratulation our issro and drdo scientist for their achivement isme high school drop out anapadh modi kya contribution hai,positive,positive
every think modi does unifies india defy him his chowkidaar campaign has unified everyone put everyone chaukidaar chor hai their twitter and facebook ,neutral,neutral
"loan mallya congress
loan chowksi congress
loan nirav modi congress
and blaming modiji for that getting the chores back",neutral,negative
hey are teasing modihe only gave slogans which never implemented ,neutral,negative
modis dresses cost more than his salary last years not counting his love for imported glasses pens watches which beyond his paycheck get whatsapp messages that pays his electricity bills from his pocket,positive,negative
engineer can tell you this fir jaaye modi sarkaar ,neutral,neutral
dear congressoppositionjoin the party instead criticizing modidid not learn lesson post surgicalbalakot strikes,neutral,negative
did say wont toe the line speculations point secondguessing modi just wont work ,neutral,negative
you listen jumla modi with background bhajan yogi and ramdev wear chawkidari cap,neutral,neutral
claiming there ‘modi wave’ this lok sabha polls like 2014 aimim president asaduddin owaisi thursday said ‘nonbjp noncongress’ front likely form the government ,neutral,neutral
old gold when narendra modi unable differentiate between pineappl via kabhi fact sahi rakha kro fake news chalani ati hai ,negative,negative
donia gandhi govt should allocate coal blocks process competitive bidding but chose not and due which public sector enterprises and private firms paid less than they might have otherwise modi revoked that received lac for the same ,negative,neutral
130 people didnt given any authority ask this question prime minister modi damm sure,positive,neutral
one premonsoon pic and other post monsoon not much relatable,negative,neutral
dalals media trying push forward failed political narratives modirahul country hardly affected now dalals country act its own ways ிு்ெ்ி yamuna expressway greater noida ,positive,negative
ravish fact checked tall claims about his adopted village under modi village adoption scheme another tale utter lies bjp may add misappropriation govt funds most likely ,positive,negative
modi bjp rss and amit shah are silent killers criminals cheaters looters liars arrogant fools inexperienced tapori terrorist deshdrohi antinational and antisocial peoples the world ,negative,negative
you can call modi whatever but hes loved india and the world hes terrorist even ,positive,neutral
observe closely all the jokers opposing have lost their mental balance their eagerness belittle him ,negative,negative
everyone wants pitch themselves against modi elleviate their status,positive,neutral
"
modi give employment opportunities suppliers enjoyer ",neutral,positive
"india2019
mrmodi now showing star war space movie his election campaign after his failure movie the border all the indian people must defeat the international fraud mob bjp throughout the country with lose their deposit save india ",negative,neutral
congress spokesperson surajwala should shut his mouth always insulting our modihe should put behind the bars,negative,negative
narendra modi deliver important message follow live updates ,positive,positive
"manav show your identity atleast social media
dont use fake pictures show hate towards modi",negative,negative
toh baaki kya openly slang kar rae hain you guys can never see positivity things that modi govt say favour india indians jealous ppl,neutral,negative
worries bro gujjus have seen modi administrator more than anyone india and now its our time pay back for his service 2626 jai ,positive,neutral
ahead the upcoming lok sabha polls the prime minister also expressed his confidence and said that people will give him opportunity serve the country again ,neutral,positive
without paying toll passed the toll gate that shows your corrupt mindset first you put efforts reform your husband and yourself your futile efforts oppose modi will further expose your family,negative,negative
"and also came know that modi followers are known bhakts
pappu followers piddis kejribawal followers aaptards",neutral,negative
nothing else love modi thats ,positive,positive
the non political type most school friends are like that they are more concerned about career and stuff but have modi bias like many other educated bengalis our generation aantlamo ektu shobai korenahole bangali howa jay,positive,neutral
hindi there saying sanya bhai kotwal phir dar kahen father bjp unit president why son should afraid following modi style working dont any work for yrs control media get widest publicity win election son home work but cheating exam ,positive,neutral
its good that has agreed contest ticket from down south high time our national leaders stood from seats outside the hindi belt modi from assam gadkari from andhra that should the way ahead ,positive,positive
"dear dinesh singh narendra modi bjp never committed deposit the said amount 1500000 through the speeches was media stunt that time
for 72000 you can sure",positive,negative
raj next time you feel like getting irritated hearing the praises modi try control your emotions and facial expression body language clearly indicates how much personal grudges you have against modi wont let your patrons congress win ,positive,neutral
today they are flitting between this vanity project one man credit should scientists not modi but credit should scientists and nehru mms this election gimmick mehmood said ghoda bolo chatur bolo,neutral,neutral
far chaiwala concerned did you hear when was the gujarat when was declared the candidate they dug out background prime minister narendra modi tune watch here ,positive,neutral
and then theres someone who has faced zero press conferences the past five years and has the audacity address the nation and talking about antisat missile like its his own achievement ,positive,negative
you even understand whatever you say each statement more moronic than the previous one had your khandan instead looting paid attention would not such sorry stage and for modi fill the hole will take years may more only,positive,negative
modi not into any corruption scamhis family doesnt have swiss accounthe doesnt have billons his bank account and thousand acres landask rahul first donate all such lame remark rahul followeryou people have gone berserk like rahulyour aaka,negative,neutral
everyone serving the society chowkidar modi congress being blown pieces ,neutral,negative
"very excited give first vote modi abki baar baar fir modi government
jai hind",positive,positive
kya aap bhi chowkidar show your support our narendra modi wearing main bhii chowkidar tshirt ,positive,neutral
jobs are terrible metric judge individual startups their overall impact the economy far better metric the rest his shit already implemented modi govt isnt proposing anything thats not already done ,negative,negative
continuously criticise modi bjp for taking the country forwardif congress had done itor some muslim countryyou’ thumping your chest right nowwhat sad pathetic man you are,negative,neutral
"absolutely true
that moron must grinning from ear ear ignoring the fact that modi holding the same post which his papa grand and great grand held some time",positive,negative
modi giyo may 2019 soch badle chowkidar badle soch badle badle soch badle chor badle soch badle chai wala badle jai hind jai congress,neutral,neutral
modi waived off lakh worth loans businessmen including nirav modi lalit modi vijay mallya mehul choksi but reluctant support our farmers ,positive,neutral
that you feel better about the shitty flight ,positive,negative
election watch priyanka gandhi attacks modi faizabad alleges has ignored own constituency ,positive,negative
modi this time pleasedo one thing after election just forcefully send them pappu family italy they are anyhow italian citizens are tired see these looters and cheaters they rogue indialet cong will shape without them ,negative,negative
first time agree mamta banerjees comment rahul gandhi that kid absolutely right mamta congress toy hand kid playing with party and clapping very good keep rahul gandhi this time rahul mamta only narendra modi jai hind ,positive,positive
why announcing twitter hate modi then one asking love modi keep your hates inside dont spoil our country with your hate indians know how modi important,negative,negative
hatred level its peak she doesnt thank modi who has shown his will for conducting such activity which his counter part couldnt,neutral,negative
never stopped teasing middle class not necessary that get pappu may get some other idiot too but next time when modi someone else get power they will know the consequences ignoring their voter base ,negative,negative
people india are fed the incompetency modi govt their blatant misuse power rampant corruption misgovernance and overt lies have damaged country its time for congress party rahul gandhi lead the country out this turmoil ,negative,negative
nobody can say cannot anything has never been elected the first place coming the puppet cbn was the puppet modi after 2014 elections cbn agreed for special package only becoz cbn have cases him,positive,neutral
how can one write book dharma and then have voted for modi,neutral,neutral
sir before some year akhilesh yadav had told that modi model dividing india but now modi model developing india has become oppositions are now huge trouble,positive,neutral
colleges get opened ppl who study and join and graduate benefit modi needs all problems yrs right,positive,neutral
new series coming vote for modi only for non andhbhaktas trolls and chowkidars all andhbhaktas trolls and chowkidars are free fire abuse allegations threats and what not may this that but not candidate party worker andhbhakta,positive,neutral
called overnight fame must say shame due his anti national stand and nothing else this way can also attribute such notorious fame dawood ibrahim robert vadra nirav modi umar khalid shehla rashid jignesh etc etc,negative,negative
good keep getting scared btw all peoples futuristic voice you all dont know tomorrow modi tells you all what and you bunch are discussing what going happen after month who are kidding,positive,negative
werent you talking about every body talikng about rahul gandhi’ ability grab headlines with minimum income watch and learn modi got the whole country listening the important message seconds thats modi’ power watch and learn,positive,neutral
lok sabha elections 2019 live rafale deal got delayed because they wanted commission says modi ,positive,neutral
majority india supported narendra modi 2014 and assembly elections thereafter anyone goes logic vote against party then there would never had been any winner any elections,neutral,neutral
why dont answer opposition parties complaint about the lack offer modi still some people are believe its true,positive,neutral
used watch 100 channle 200 rupees now modi bring now pay 400 rupees for chhanale,neutral,neutral
surgical strike not modi airstrike not modi asat missile not modi but raids modi modi modi you have sense what are you talking ,neutral,neutral
you can have your opinions modi one should immune criticism but modi really worked his way the top from lower middle class kid who worked tea stall modi became the the worlds biggest democracy really took along with his rise ,positive,positive
modi try hide the failure bjp gov for that use nationalism and success scientists ,negative,neutral
modi wanted address the nation between 1145 and 1200 still waiting 1228 once again has brought the nation halt but its worth hes resigning ,positive,neutral
prime minister salesman twitter questions modi ‘selling’ tshirts inline ,neutral,neutral
madam ’ your mistake can’ understand the ethics behind the coalition with bjp communal party now you are crying all those who are alliance with bjp must rethink otherwise you people will die the stomach modi sha ,negative,negative
everything possible under modi government sir,neutral,positive
finally modi going loose varanasi 65000 votes chowkidars chaiwala and pakistan wont work this time cover the utter failures and false promises where lac now every citizen started asking this dont underestimate think voters are fools,negative,negative
"modi modi modi modi best honest brave develop our country
one nation one mission bjp once again",positive,positive
talks development for all that reaching the last mile today says that the number gas connections congress gave since independence has been given modi govt just years,neutral,neutral
"gautam have deserving candidate for then tell will support him
but have the determination like modi have and should more capable then modi sure you dont have ",positive,positive
sathyama modi and media didn’ make big deal and not tell wouldn’ have known such achievement anyways this not going affect the polls,neutral,neutral
chinas south china morning post reports rare televised address just weeks before the nation goes the polls modi said indian scientists “shot down live satellite lowearth orbit” ,positive,neutral
congress has absolutely run out ideas counter modi going what best atcon the people farmers loan waivers never came through one cannot fool all the ppl all the time,positive,negative
there any possibility come around rs3040 before vacating his office ,neutral,neutral
that was promise from modi all should discussed see you also know lac was never about economy you said ,neutral,neutral
sir agreed but what about the degradation the armed forces other govt has rubbed our faces the mud the way this govt guided jaitley and under the watch modi has done let them not give penny but restore our dignity and rightful place ,negative,negative
ganta mob lynching pakistan madrassachapbad word religion and what eat and what not eat rape supporing the rapitfarmer sucidelack jobunemplyoment rafeal deal criminal acquit list onmodi badwa,negative,negative
this entire issue once again exposes how deranged biased our media anchors are calling out folks like etc who went some high and said modi about master stroke feel free expose others days left,positive,negative
rahul gandhi brags not afraid modi but sure scared lady with might and grit when entitled dynast runs like wimp that friends called real women empowerment feminists should celebrating today ,positive,negative
lakh thousand government jobs reduced under the modi regime who this govt working for not for its own people ,positive,negative
you think modi charge law and order bangalore you even know who ruling karnataka buddy some googling before posting anything social media,positive,neutral
right you are modi deposited lakhs all the bank accounts and has created crores jobs chowkidars and pakora salesmen,positive,neutral
excusee havent sew profile tweeted modi once again saw tweet once thts why replied knw people masters manipulation,neutral,neutral
rahul gandhi and his whole family and all big leaders congress are accused scam out bail but this pappu will support them because paycheck mil rhi modi not accused for even single scam but this paid pidi oppose him every day,positive,negative
would say miracle modi must given lifer looking his grave fraud,neutral,negative
next time please send ’’ modi shoot f16s would good riddance ,positive,neutral
show the video jisme said lakh account mein aaenge said itna hai that lakh can given each person free mein kisi nhi milta video dikhao and rha padhlo ,positive,neutral
utter bollocks but then most modi bhakts are delusional good night,positive,negative
those who cry that india can’ survive without modi remember that his wife yashodaben doing fine without him for years happy living there after ,positive,positive
narendra modis inept understanding have totally destroyed the economy production vehicles have been slowed declining sales vehicles reduction consumption consumer goods core segments economy sees dip ,neutral,negative
the rapist kathua unnao victims and their families friends should stripped and paraded naked front publicand modi should ensure strictest punishment for these perverts isnt fair bhakaths ,positive,negative
thats nothing one guy timeline was telling that hard for modi win this time varanasi since 111 farmers are contesting from the same constituency and votes are going get divided beat ,positive,neutral
yeah too much intolerance she arent getting work bollywood since modi became our ,positive,negative
development india ratio including today mission proof that except modi all other leaders wants distroy india,positive,neutral
this message suits very much indias honorable mrmodi this very meaningful and suitable situation india because only oneman who can shows the right way for nation great prime minister india salute him hope everybody agree ,positive,positive
"after seeing how modi got into that chair lying like awho wouldnt copy such tricks
",neutral,negative
only kanhaiyya and tharoor even you lakhs wont listen modi sadguru,neutral,negative
this lutyens 10jp bootlicker worstpost hurry discredit modiforgets giving cridit drdo origination which behind this great mission isro nowhere picture tho,positive,negative
modi has made good platform doing basics right now launch this nation great high people must sensible vote for him else they will destroy their future generations,positive,positive
modi the biggest threat our unity ,neutral,negative
lincoln for usa but doubt anyone politics and race harp about past but india keep going back with attitude not progress all are heros that time you are blaming modi next years from will blamed even more thats desi attitude,positive,negative
"complained cec
release movie narendra modi postponed its violating model code conduct refuse accept this allegation election rallies campaigns are permitted then movie cant banned
govt authority isnt utilized
",negative,negative
would like thank modi for the successful hes the one who gave clearance the project and those discrediting must know that drdo comes under pmo ,positive,positive
pappu smile dekho all responsible and respectable people are still with our modi has may rona acche yeh tere aasu pochne bhi aayegi,positive,neutral
foolish man they both are their 90s modi bjp would have given them tickets the same ppl would have started cursing advani and joshi calling them hungry for power,neutral,negative
see who talking  politics joke one day call someone thief the next day your leader funny what you feel give your comments its like marriage for convenience for whom themselves  fooling people ,positive,neutral
gives green signal for auction nirav modi’ luxury cars the auctioning contract has been given metal and scrap corporation india bidders can have test drive before buying ,negative,neutral
sonia mino ballet dancer this fool sanjay jha slave seek seat rajyasabha but modi again chance for blackmoney,neutral,negative
bjp president amit shah wednesday thanked narendra modi for indias successful demonstration antisatellite missile capability saying ,positive,positive
"seems you dont have anything good say about yourself hence
baar baar modi sarkar ",positive,negative
need for any slogan modis misgovernance sufficent propel the power,neutral,neutral
modi has been changing alot which good for india,positive,positive
need anymore proof that modi undermined our national interest help his friend anil ambani removing the bank guarantee clause modi ensured india overpaid for the rafale jets cost the average tax payer millions,negative,negative
"modi biopic the bjp not taking the matter properly opposition crying foul every time
opposition complaining left right and center
what people need consistency approach can know what the position the complaint bjp against rahul gandhi",negative,negative
modi wants skill india rahul wants kill india,positive,negative
 modi declares india space superpower satellite downed missile ,neutral,neutral
"
namo the best brave honest developing the our country only modi",positive,positive
’ like modi contesting from every seat need see who the candidate aim select modi again ,neutral,neutral
jimmy tulsi she not facto endorsing narendra modi while wearing bjp sash smiling the camera next vijay jolly when fascist sympathizers come the usa will they anti regime change wars war hawks terrorism still dreaming ,neutral,neutral
"such troll you areask modi and you too join him and come vadodarai will show you how much industrial labour get
shameshameshame",positive,negative
this news about the scoundrels behind nirav modi ,negative,negative
the northeast the lotus first bloomed arunachal pradesh narendra modi rally state,positive,neutral
narendra modis false promises 2014 putting lakh each individuals bank account creation two crore jobs building 100 smart cities and bringing back lakh crore black money from abroad would major election issues rahul … ,negative,negative
fraud vadra disclosed bcz bjp dont worry some other day will jail shark land mafia its dat easy catch himreason behind gandhis losing elections 2014 was modigandhis old players politicscunning family with increasing incomedaily,negative,neutral
modi have done all why employment rates bottom years have any answer for unmai jellum,neutral,neutral
saw that point have limited knowledge pakistani law but that might very well the case objection was using pakistan bashing political tool its wrong when modi and shah and its equally wrong when owaisi does ,negative,negative
"former odisha dgp prakash mishra joins bjp and will contesting from the cuttack lok sabha seat praised modis response pulwama strike also stressed that its time for parivartana odisha
bjp odisha looking strong ",positive,positive
only modi comping,neutral,neutral
"this report card made bjp modi you dont think all nation fool 18000 village was remain out 648 village for electrification the india you taken years this very slow speed
and now come employment where 2cr jobs modi bjp finished",negative,negative
rahul gandhi wishes modi happy world theatre day after his address nation nonsense joker auntie cute ignore fully,positive,neutral
 congress faced the brunt the people when they voted out power 2014 people elected modi for change and ground reports and government’ own surveys says that’ not happened last years also nobody stopped bjp behind scam accused,positive,neutral
completely agree with this but just like modi jagan doesn’ have big opposition people believe there jagan wave and naidu will lose big time jagankcr from telangana conspiring make third front after clean sweep both states aiming for ,positive,neutral
pmmodi watch live ,positive,neutral
